model_name;user_id;hotkey_count;technique_id;log_likelyhood;n_params;N;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
CK;0;0;0;-1141.1730005192344;2;720;0.0;0.0;1;-1;-1;-1;-1;-1;-1;-1
CK;1;339;1;-1141.1730005192344;2;720;0.0;0.0;1;-1;-1;-1;-1;-1;-1;-1
CK;2;479;2;-711.0;2;711;0.0;0.0;1;-1;-1;-1;-1;-1;-1;-1
CK;3;0;0;-1141.1730005192344;2;720;0.0;0.0;1;-1;-1;-1;-1;-1;-1;-1
CK;4;504;1;-1141.1730005192344;2;720;0.0;0.0;1;-1;-1;-1;-1;-1;-1;-1
CK;5;542;2;-720.0;2;720;0.0;0.0;1;-1;-1;-1;-1;-1;-1;-1
CK;6;0;0;-1141.1730005192344;2;720;0.0;0.0;1;-1;-1;-1;-1;-1;-1;-1
CK;7;507;1;-1133.248188015629;2;715;0.0;0.0;1;-1;-1;-1;-1;-1;-1;-1
CK;8;532;2;-717.0;2;717;0.0;0.0;1;-1;-1;-1;-1;-1;-1;-1
CK;9;557;0;-1141.1730005192344;2;720;0.0;0.0;1;-1;-1;-1;-1;-1;-1;-1
CK;10;370;1;-1141.1730005192344;2;720;0.0;0.0;1;-1;-1;-1;-1;-1;-1;-1
CK;11;582;2;-720.0;2;720;0.0;0.0;1;-1;-1;-1;-1;-1;-1;-1
CK;12;0;0;-1141.1730005192344;2;720;0.0;0.0;1;-1;-1;-1;-1;-1;-1;-1
CK;13;641;1;-1141.1730005192344;2;720;0.0;0.0;1;-1;-1;-1;-1;-1;-1;-1
CK;14;352;2;-720.0;2;720;0.0;0.0;1;-1;-1;-1;-1;-1;-1;-1
CK;0;0;0;-828.758004204298;2;720;0.0;0.5;1;-1;-1;-1;-1;-1;-1;-1
CK;1;339;1;-1069.688076032757;2;720;0.0;0.5;1;-1;-1;-1;-1;-1;-1;-1
CK;2;479;2;-831.8128558011099;2;711;0.0;0.5;1;-1;-1;-1;-1;-1;-1;-1
CK;3;0;0;-825.1512666020758;2;720;0.0;0.5;1;-1;-1;-1;-1;-1;-1;-1
CK;4;504;1;-1195.9238921105411;2;720;0.0;0.5;1;-1;-1;-1;-1;-1;-1;-1
CK;5;542;2;-883.4132862157961;2;720;0.0;0.5;1;-1;-1;-1;-1;-1;-1;-1
CK;6;0;0;-825.1512666020758;2;720;0.0;0.5;1;-1;-1;-1;-1;-1;-1;-1
CK;7;507;1;-1335.1845265906989;2;715;0.0;0.5;1;-1;-1;-1;-1;-1;-1;-1
CK;8;532;2;-874.1479654691249;2;717;0.0;0.5;1;-1;-1;-1;-1;-1;-1;-1
CK;9;557;0;-1302.6833251363228;2;720;0.0;0.5;1;-1;-1;-1;-1;-1;-1;-1
CK;10;370;1;-1097.8206293300905;2;720;0.0;0.5;1;-1;-1;-1;-1;-1;-1;-1
CK;11;582;2;-912.2671870335755;2;720;0.0;0.5;1;-1;-1;-1;-1;-1;-1;-1
CK;12;0;0;-825.1512666020758;2;720;0.0;0.5;1;-1;-1;-1;-1;-1;-1;-1
CK;13;641;1;-1306.2900627385452;2;720;0.0;0.5;1;-1;-1;-1;-1;-1;-1;-1
CK;14;352;2;-746.3572573313504;2;720;0.0;0.5;1;-1;-1;-1;-1;-1;-1;-1
CK;0;0;0;-580.0213941666707;2;720;0.0;1.0;1;-1;-1;-1;-1;-1;-1;-1
CK;1;339;1;-1061.8815378235968;2;720;0.0;1.0;1;-1;-1;-1;-1;-1;-1;-1
CK;2;479;2;-1012.3810346578509;2;711;0.0;1.0;1;-1;-1;-1;-1;-1;-1;-1
CK;3;0;0;-572.8079189622259;2;720;0.0;1.0;1;-1;-1;-1;-1;-1;-1;-1
CK;4;504;1;-1314.3531699791715;2;720;0.0;1.0;1;-1;-1;-1;-1;-1;-1;-1
CK;5;542;2;-1107.3382919816052;2;720;0.0;1.0;1;-1;-1;-1;-1;-1;-1;-1
CK;6;0;0;-572.8079189622259;2;720;0.0;1.0;1;-1;-1;-1;-1;-1;-1;-1
CK;7;507;1;-1600.3570404272916;2;715;0.0;1.0;1;-1;-1;-1;-1;-1;-1;-1
CK;8;532;2;-1091.5555183234662;2;717;0.0;1.0;1;-1;-1;-1;-1;-1;-1;-1
CK;9;557;0;-1527.8720360307457;2;720;0.0;1.0;1;-1;-1;-1;-1;-1;-1;-1
CK;10;370;1;-1118.1466444182672;2;720;0.0;1.0;1;-1;-1;-1;-1;-1;-1;-1
CK;11;582;2;-1165.0460936171658;2;720;0.0;1.0;1;-1;-1;-1;-1;-1;-1;-1
CK;12;0;0;-572.8079189622259;2;720;0.0;1.0;1;-1;-1;-1;-1;-1;-1;-1
CK;13;641;1;-1535.0855112351906;2;720;0.0;1.0;1;-1;-1;-1;-1;-1;-1;-1
CK;14;352;2;-833.2262342127051;2;720;0.0;1.0;1;-1;-1;-1;-1;-1;-1;-1
CK;0;0;0;-394.09583584870506;2;720;0.0;1.5;1;-1;-1;-1;-1;-1;-1;-1
CK;1;339;1;-1116.8860513340676;2;720;0.0;1.5;1;-1;-1;-1;-1;-1;-1;-1
CK;2;479;2;-1243.1773003096112;2;711;0.0;1.5;1;-1;-1;-1;-1;-1;-1;-1
CK;3;0;0;-383.2756230420382;2;720;0.0;1.5;1;-1;-1;-1;-1;-1;-1;-1
CK;4;504;1;-1495.5934995674145;2;720;0.0;1.5;1;-1;-1;-1;-1;-1;-1;-1
CK;5;542;2;-1382.127183109456;2;720;0.0;1.5;1;-1;-1;-1;-1;-1;-1;-1
CK;6;0;0;-383.2756230420382;2;720;0.0;1.5;1;-1;-1;-1;-1;-1;-1;-1
CK;7;507;1;-1927.9044181243057;2;715;0.0;1.5;1;-1;-1;-1;-1;-1;-1;-1
CK;8;532;2;-1359.6150236841765;2;717;0.0;1.5;1;-1;-1;-1;-1;-1;-1;-1
CK;9;557;0;-1815.8717986447602;2;720;0.0;1.5;1;-1;-1;-1;-1;-1;-1;-1
CK;10;370;1;-1201.2837112260709;2;720;0.0;1.5;1;-1;-1;-1;-1;-1;-1;-1
CK;11;582;2;-1468.6888855627963;2;720;0.0;1.5;1;-1;-1;-1;-1;-1;-1;-1
CK;12;0;0;-383.2756230420382;2;720;0.0;1.5;1;-1;-1;-1;-1;-1;-1;-1
CK;13;641;1;-1826.692011451427;2;720;0.0;1.5;1;-1;-1;-1;-1;-1;-1;-1
CK;14;352;2;-970.9590964560925;2;720;0.0;1.5;1;-1;-1;-1;-1;-1;-1;-1
CK;0;0;0;-263.25178374432363;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;1;339;1;-1226.9720710581528;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;2;479;2;-1512.2990401616485;2;711;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;3;0;0;-248.82483333543445;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;4;504;1;-1731.9153353692923;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;5;542;2;-1695.726681022395;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;6;0;0;-248.82483333543445;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;7;507;1;-2310.150791575152;2;715;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;8;532;2;-1666.3234249683685;2;717;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;9;557;0;-2158.953067472419;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;10;370;1;-1339.5022842474923;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;11;582;2;-1811.1422842935121;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;12;0;0;-248.82483333543445;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;13;641;1;-2173.3800178813085;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;14;352;2;-1147.5025654845836;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;0;0;0;-175.9309424920499;2;720;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;1;339;1;-1380.5813016343332;2;720;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;2;479;2;-1808.5489434860363;2;711;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;3;0;0;-157.89725448093762;2;720;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;4;504;1;-2011.760382023266;2;720;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;5;542;2;-2036.7977368820186;2;720;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;6;0;0;-157.89725448093762;2;720;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;7;507;1;-2735.618131358305;2;715;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;8;532;2;-2000.388919374472;2;717;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;9;557;0;-2545.557547152188;2;720;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
