model_name;user_id;hotkey_count;technique_id;log_likelyhood;n_params;N;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
RW;0;0;0;-1141.1730005192344;2;720;0.0;0.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;1;339;1;-1141.1730005192344;2;720;0.0;0.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;2;479;2;-711.0;2;711;0.0;0.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;3;0;0;-1141.1730005192344;2;720;0.0;0.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;4;504;1;-1141.1730005192344;2;720;0.0;0.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;5;542;2;-720.0;2;720;0.0;0.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;6;0;0;-1141.1730005192344;2;720;0.0;0.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;7;507;1;-1133.248188015629;2;715;0.0;0.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;8;532;2;-717.0;2;717;0.0;0.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;9;557;0;-1141.1730005192344;2;720;0.0;0.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;10;370;1;-1141.1730005192344;2;720;0.0;0.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;11;582;2;-720.0;2;720;0.0;0.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;12;0;0;-1141.1730005192344;2;720;0.0;0.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;13;641;1;-1141.1730005192344;2;720;0.0;0.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;14;352;2;-720.0;2;720;0.0;0.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;0;0;0;-1041.0194076867106;2;720;0.0;0.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;1;339;1;-1113.2984292352571;2;720;0.0;0.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;2;479;2;-740.6081642915489;2;711;0.0;0.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;3;0;0;-1039.937386406044;2;720;0.0;0.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;4;504;1;-1151.1691740585948;2;720;0.0;0.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;5;542;2;-762.3042973090098;2;720;0.0;0.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;6;0;0;-1039.937386406044;2;720;0.0;0.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;7;507;1;-1187.4446421358007;2;715;0.0;0.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;8;532;2;-757.4526997873223;2;717;0.0;0.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;9;557;0;-1183.1970039663308;2;720;0.0;0.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;10;370;1;-1121.7381952244573;2;720;0.0;0.5;0.3;-1;-1;-1;-1;-1;-1;-1
